startingAirport,destinationAirport,travelDuration,totalTravelDistance
4,2,391.837660232161,1248.8195888545426
4,3,404.81738463224815,1473.1713252219665
4,5,435.163714111179,1443.2722699342412
4,6,411.25568608701593,1529.9407144320744
4,7,405.30369317146085,1376.9114076342557
4,8,501.49615889822076,1580.6115909724158
4,9,435.6323471968093,1547.4032400649658
4,10,432.62545333739376,1568.9679687716286
4,11,413.91225279365267,1412.0562854730063
4,12,629.2051494770525,1849.641462475186
4,13,445.7049381848834,1331.2450477662264
4,14,442.46962917017413,1529.9693190377031
4,15,508.6795739014647,1748.3689747003996
5,0,409.5348933717579,1100.3467204610952
5,1,356.25248173270063,807.9000320223574
5,2,405.26202025359544,975.2211159333957
5,3,482.121204398165,1613.1129032258063
5,4,452.5996898459803,1393.3512846720473
5,6,349.70706823874394,947.4674079051866
5,7,330.5942372881356,840.8396610169492
5,8,483.68754747007125,869.3994719519693
5,9,563.3355997709705,2358.9583309476093
5,10,337.28240485383344,812.6909250186561
5,11,451.56119769296845,1480.9907473309609
5,12,715.5657849103005,2426.8415360847494
5,13,419.02486107048844,1194.6623281661305
5,14,394.3802666893878,902.8826737102203
5,15,609.2995472542893,2483.3045424929414
6,0,332.73318439801955,913.7376524574327
6,1,443.67796858946133,1336.7904007045354
6,2,367.3054343982082,1001.9860112381626
6,3,481.593579352762,1860.7508765879174
6,4,438.1250574149493,1541.6071286401077
6,5,352.45477729672024,958.6386928414685
6,7,393.2780925567482,935.6480380080943
6,9,583.005110451698,2609.7445103857567
6,11,400.2347515461719,1427.6214011516315
6,12,735.249221799496,2900.6219180789567
6,13,384.60284079700136,912.5143420793056
6,14,451.15157120570535,1058.7515266324938
6,15,623.1104376108811,2743.2544943820226
7,0,329.28829993535874,693.4645858343338
7,1,377.9170670411708,772.3665089807081
7,2,356.2128094801439,776.5524440995979
7,3,493.4817649578752,1759.854319577324
7,4,437.5100122313472,1399.7370260352961
7,5,367.08564062324854,884.1276762694765
7,6,399.5532849844593,923.1545496766818
7,8,467.4972639788666,761.7921567394176
7,9,588.628246048084,2517.8469848344635
7,10,452.2150246467302,895.0920013144922
7,11,445.33083188432323,1210.8735548030872
7,12,803.7383993532741,2827.3686014551336
7,13,408.6671568627451,886.838137254902
7,14,400.32911725089525,789.7110943197871
7,15,645.4074606619641,2679.289880629409
8,0,445.4733928884218,1094.2639341390786
8,1,411.5387246852764,577.9500547345375
8,2,417.1219388817806,830.2328979081739
8,3,595.0491463755948,2025.5963802593526
8,4,616.7520058780309,1623.4056429096254
8,5,462.4828602860286,829.0439603960396
8,7,457.40884289746003,773.8526434619002
8,9,631.5292895916922,2795.0083313665327
8,11,484.14154234394715,1382.4021376085504
8,12,674.0220351951033,2861.790818668707
8,13,518.6434308621858,1026.8002364918455
8,14,399.2065614524088,690.760480620739
8,15,671.3926005975462,2869.6672811645794
9,0,504.06165498901953,2197.9594693517784
9,1,574.1198520781007,2777.7652938874935
9,2,546.6010469016871,2432.7452784979664
9,3,415.78971423596755,1280.4892811282564
9,4,424.8093241002633,1570.198722325173
9,5,534.8004179728317,2344.626380298794
9,6,547.5436135778903,2634.4474230226574
9,7,559.1239246875507,2518.8493751014444
9,8,594.88236834231,2894.537028725314
9,10,547.4399702256677,2652.794983751203
9,11,579.2304120369672,2672.3779643896337
9,12,571.4433342405039,1456.7961199020256
9,13,505.52929527314916,2140.0283451021182
9,14,571.8676255790338,2601.0105860586755
9,15,457.00988467874794,1009.4709500274574
10,0,375.2942907935768,997.1503803223268
10,1,373.4400717297533,780.9508069597247
10,2,344.7057498177641,746.0362925493141
10,3,497.86893240023824,1904.4867108397855
10,4,447.0948830108916,1572.7226609517659
10,5,371.24357029580085,789.6877197821141
10,7,444.14895430696197,891.7924045795917
10,9,584.9569464802831,2610.1106413785706
10,11,430.17654234472735,1378.854577071816
10,12,851.7665260655017,2931.117013826686
10,13,387.7756760270411,901.571892875715
10,14,452.27046777912386,1068.9368087850248
10,15,642.3837452683144,2785.523335560009
11,0,523.7894486486487,1716.899027027027
11,1,436.8975462487153,1326.6160714285713
11,2,404.1197905580861,1125.8423013068834
11,3,533.7175885027257,2092.4311262416236
11,4,434.8015265788278,1432.4296592457974
11,5,454.1645163918842,1466.840535622131
11,6,420.1821461209177,1424.4291279880717
11,7,436.37206132879044,1198.5294378194208
11,8,446.5473505001064,1409.2350500106406
11,9,609.0587881877435,2533.3826603065945
11,10,432.904984193577,1432.042810293379
11,12,833.3755136504362,3012.244919786096
11,13,471.522155590577,1603.3509895822674
11,14,455.3383796540383,1310.7178830559112
11,15,711.1860721551818,3058.940828402367
12,0,672.1199876809362,2470.947274407145
12,1,761.0068353812353,2994.0840589144764
12,2,766.9748149527489,2688.34523532424
12,3,482.16714636925104,1339.5896744018708
12,4,616.2015077835007,1927.2344545794608
12,5,699.4905704307334,2445.1709961749543
12,6,693.350662757567,2886.103976545402
12,7,698.7132733033184,2790.0736618309156
12,8,637.6002344093373,2832.980710064951
12,9,580.7240256093452,1451.1416376502302
12,10,825.8222400427693,2988.5211975407647
12,11,827.1191826447025,3120.582725717886
12,13,579.1350565542673,2177.6817359855336
12,14,763.3381115981518,2843.224380997512
12,15,442.172975900352,894.4450852965069
13,0,443.64758106989694,1284.5888571213602
13,1,395.8414666881409,967.8663767649111
13,2,388.65700951436173,1118.1992604951076
13,3,418.16409300674474,1349.246272630458
13,4,424.4187900734195,1282.225607122687
13,5,533.3522190745987,1209.4438149197356
13,6,362.0216243827686,945.5313014359498
13,7,399.19727153188694,914.7221893491125
13,8,439.616331694973,994.6572258179635
13,9,515.7820665083135,2116.9447743467936
13,10,373.25874737578727,920.2796827618381
13,11,432.1313972418181,1617.314571209371
13,12,619.9210906053012,2190.7622844991265
13,14,427.98638613861385,1081.1938764528627
13,15,563.0914332320846,2186.4942625717176
14,0,386.014516242689,1046.7024522584736
14,1,361.4881794789321,618.5124638147314
14,2,367.6807797985084,895.0413973570587
14,3,503.5369647075333,1846.497368851884
14,4,455.81406532890765,1521.70882996379
